GeoFIPS,GeoName,Region,Description,2016,2017,2018,2019,2020
" ""13105""","Elbert, GA",5.0,Per capita personal income (dollars) 2/,32793.0,34374.0,35056.0,35172.0,38755.0
" ""13107""","Emanuel, GA",5.0,Per capita personal income (dollars) 2/,29658.0,31618.0,31409.0,33209.0,37908.0
" ""13109""","Evans, GA",5.0,Per capita personal income (dollars) 2/,32264.0,32831.0,33272.0,33698.0,36914.0
" ""13111""","Fannin, GA",5.0,Per capita personal income (dollars) 2/,33683.0,36029.0,37672.0,40186.0,42955.0
" ""13113""","Fayette, GA",5.0,Per capita personal income (dollars) 2/,57696.0,60008.0,64030.0,64967.0,68922.0
" ""13115""","Floyd, GA",5.0,Per capita personal income (dollars) 2/,35514.0,36165.0,37439.0,38724.0,40857.0
" ""13117""","Forsyth, GA",5.0,Per capita personal income (dollars) 2/,60477.0,61424.0,62660.0,65839.0,68471.0
" ""13119""","Franklin, GA",5.0,Per capita personal income (dollars) 2/,33923.0,35236.0,35728.0,35346.0,35978.0
" ""13121""","Fulton, GA",5.0,Per capita personal income (dollars) 2/,77349.0,83377.0,87609.0,93309.0,93399.0
" ""13123""","Gilmer, GA",5.0,Per capita personal income (dollars) 2/,32978.0,34525.0,35678.0,36851.0,38413.0
" ""13125""","Glascock, GA",5.0,Per capita personal income (dollars) 2/,32827.0,33085.0,33924.0,35405.0,38916.0
" ""13127""","Glynn, GA",5.0,Per capita personal income (dollars) 2/,41822.0,44105.0,46786.0,47885.0,52623.0
" ""13129""","Gordon, GA",5.0,Per capita personal income (dollars) 2/,32777.0,36054.0,35220.0,36417.0,38180.0
" ""13131""","Grady, GA",5.0,Per capita personal income (dollars) 2/,29507.0,30564.0,30929.0,31878.0,35389.0
" ""13133""","Greene, GA",5.0,Per capita personal income (dollars) 2/,50384.0,54383.0,58687.0,60776.0,64277.0
" ""13135""","Gwinnett, GA",5.0,Per capita personal income (dollars) 2/,38541.0,39650.0,41191.0,42778.0,46112.0
" ""13137""","Habersham, GA",5.0,Per capita personal income (dollars) 2/,31801.0,32833.0,33989.0,34877.0,36955.0
" ""13139""","Hall, GA",5.0,Per capita personal income (dollars) 2/,40379.0,42741.0,45109.0,46326.0,49283.0
" ""13141""","Hancock, GA",5.0,Per capita personal income (dollars) 2/,26457.0,27664.0,29406.0,30672.0,33359.0
" ""13143""","Haralson, GA",5.0,Per capita personal income (dollars) 2/,34103.0,35192.0,36521.0,38095.0,40557.0
" ""13145""","Harris, GA",5.0,Per capita personal income (dollars) 2/,44928.0,46331.0,48610.0,49915.0,53152.0
" ""13147""","Hart, GA",5.0,Per capita personal income (dollars) 2/,34224.0,36458.0,38221.0,39045.0,41271.0
" ""13149""","Heard, GA",5.0,Per capita personal income (dollars) 2/,30142.0,31327.0,32449.0,34126.0,36259.0
" ""13151""","Henry, GA",5.0,Per capita personal income (dollars) 2/,36968.0,37818.0,39036.0,39753.0,43563.0
" ""13153""","Houston, GA",5.0,Per capita personal income (dollars) 2/,39444.0,40565.0,41682.0,42862.0,45484.0
" ""13155""","Irwin, GA",5.0,Per capita personal income (dollars) 2/,30261.0,31169.0,32182.0,34371.0,37260.0
" ""13157""","Jackson, GA",5.0,Per capita personal income (dollars) 2/,39400.0,40982.0,42791.0,44001.0,46597.0
" ""13159""","Jasper, GA",5.0,Per capita personal income (dollars) 2/,35138.0,38630.0,37062.0,39465.0,42240.0
" ""13161""","Jeff Davis, GA",5.0,Per capita personal income (dollars) 2/,28550.0,28718.0,30239.0,31923.0,34951.0
" ""13163""","Jefferson, GA",5.0,Per capita personal income (dollars) 2/,30447.0,32079.0,32088.0,33796.0,38530.0
" ""13165""","Jenkins, GA",5.0,Per capita personal income (dollars) 2/,28166.0,28691.0,29223.0,31213.0,35493.0
" ""13167""","Johnson, GA",5.0,Per capita personal income (dollars) 2/,24519.0,25087.0,25869.0,27476.0,30809.0
" ""13169""","Jones, GA",5.0,Per capita personal income (dollars) 2/,35172.0,36576.0,37425.0,38426.0,40505.0
" ""13171""","Lamar, GA",5.0,Per capita personal income (dollars) 2/,31512.0,32877.0,34044.0,35738.0,38036.0
" ""13173""","Lanier, GA",5.0,Per capita personal income (dollars) 2/,26118.0,27686.0,29248.0,30667.0,33181.0
" ""13175""","Laurens, GA",5.0,Per capita personal income (dollars) 2/,33806.0,34703.0,36143.0,36822.0,40174.0
" ""13177""","Lee, GA",5.0,Per capita personal income (dollars) 2/,40975.0,42205.0,42877.0,43621.0,47096.0
" ""13179""","Liberty, GA",5.0,Per capita personal income (dollars) 2/,32433.0,33549.0,35568.0,35250.0,37860.0
" ""13181""","Lincoln, GA",5.0,Per capita personal income (dollars) 2/,35098.0,36563.0,37396.0,40416.0,44684.0
" ""13183""","Long, GA",5.0,Per capita personal income (dollars) 2/,29954.0,31136.0,32418.0,33614.0,36265.0
" ""13185""","Lowndes, GA",5.0,Per capita personal income (dollars) 2/,34449.0,35453.0,36831.0,37719.0,41443.0
" ""13187""","Lumpkin, GA",5.0,Per capita personal income (dollars) 2/,35496.0,36471.0,38435.0,39615.0,41686.0
" ""13189""","McDuffie, GA",5.0,Per capita personal income (dollars) 2/,33011.0,34418.0,35050.0,37346.0,41213.0
" ""13191""","McIntosh, GA",5.0,Per capita personal income (dollars) 2/,33656.0,35484.0,38544.0,39980.0,44564.0
" ""13193""","Macon, GA",5.0,Per capita personal income (dollars) 2/,29684.0,32004.0,30870.0,33090.0,36031.0
" ""13195""","Madison, GA",5.0,Per capita personal income (dollars) 2/,34501.0,36183.0,36966.0,38366.0,39237.0
