County,State,White_Non_Hispanic,Black,Native_American,Asian,Pacific_Islander,Some_Other_Race,Mixed,Hispanic
Highlands,Florida,65511,9484,291,1602,49,307,3048,20943
Hillsborough,Florida,667791,224479,2817,69928,914,9655,56797,427381
Holmes,Florida,16766,1211,120,81,13,27,747,688
Indian River,Florida,117422,13079,273,2341,52,730,5059,20832
Jackson,Florida,30629,12042,196,292,18,144,1783,2215
Jefferson,Florida,8720,4600,36,34,3,54,405,658
Lafayette,Florida,6074,1024,16,10,1,18,145,938
Lake,Florida,253214,37883,1016,8362,317,2916,14873,65375
Lee,Florida,490476,55958,1228,12789,244,3974,22992,173161
Leon,Florida,157458,87503,631,10465,155,1261,11811,22914
Levy,Florida,32874,3597,122,292,11,170,1769,4080
Liberty,Florida,5729,1353,52,18,1,26,233,562
Madison,Florida,10132,6281,53,45,0,63,513,881
Manatee,Florida,273101,31147,779,8433,246,1583,13442,70979
Marion,Florida,253837,42795,986,5973,148,1747,14512,55910
Martin,Florida,119216,7277,218,2246,42,525,4720,24187
Miami-Dade,Florida,361517,378756,1589,41672,385,14667,46243,1856938
Monroe,Florida,54731,4517,169,1137,61,407,2420,19432
Nassau,Florida,75817,4945,222,863,52,293,3711,4449
Okaloosa,Florida,146271,18896,799,6578,448,1206,14892,22578
Okeechobee,Florida,24671,3318,263,332,14,146,1043,9857
Orange,Florida,531362,263624,2207,76870,1114,16015,65691,473025
Osceola,Florida,113362,35145,562,11370,240,4218,12670,211089
Palm Beach,Florida,779759,255724,1536,43356,494,10766,50623,349933
Pasco,Florida,392375,31601,1388,16408,308,2771,23883,93157
Pinellas,Florida,684463,91431,1942,33700,797,4835,39500,102439
Polk,Florida,392621,100950,1623,13181,300,3684,24992,187695
Putnam,Florida,50541,11274,280,469,37,248,2656,7816
St. Johns,Florida,214428,12940,544,9764,151,1225,11766,22607
St. Lucie,Florida,176533,64597,568,5678,141,2470,12919,66320
Santa Rosa,Florida,147518,10690,1112,3818,362,847,11763,11890
Sarasota,Florida,349700,16165,695,8407,168,1902,13733,43236
Seminole,Florida,264072,50276,765,25164,243,2975,20822,106539
Sumter,Florida,109213,8313,311,1238,31,320,2743,7583
Suwannee,Florida,31664,4920,167,270,16,143,1509,4785
Taylor,Florida,15629,4196,102,224,0,45,734,866
Union,Florida,11585,3197,42,35,0,62,462,764
Volusia,Florida,379527,55338,1262,10478,266,2692,21328,82652
Wakulla,Florida,25987,4202,154,198,19,126,1501,1577
Walton,Florida,60644,3294,415,907,38,307,3513,6187
Washington,Florida,19484,3236,222,132,28,87,1205,924
Appling,Georgia,12674,3339,33,123,1,32,417,1825
Atkinson,Georgia,4801,1208,30,12,4,16,167,2048
Bacon,Georgia,8103,1747,4,40,4,32,335,875
Baker,Georgia,1514,1128,1,18,0,2,70,143
Baldwin,Georgia,22432,18318,64,599,27,193,1027,1139
Banks,Georgia,15578,394,54,189,8,28,620,1164
Barrow,Georgia,55582,10141,130,3233,17,459,3383,10560
Bartow,Georgia,80159,11309,254,1169,40,466,4753,10751
Ben Hill,Georgia,9219,6222,57,116,0,48,478,1054
Berrien,Georgia,14396,1934,22,80,10,62,611,1045
Bibb,Georgia,56787,85234,281,3209,42,602,4454,6737
Bleckley,Georgia,8867,2788,11,153,8,30,257,469
Brantley,Georgia,16317,562,45,42,3,34,692,326
Brooks,Georgia,9066,5684,24,67,6,42,457,955
Bryan,Georgia,31321,6330,102,1032,53,184,2447,3269
Bulloch,Georgia,49712,22775,159,1283,62,249,2679,4180
Burke,Georgia,11941,10957,45,97,10,66,703,777
Butts,Georgia,16628,6808,39,102,9,164,881,803
Calhoun,Georgia,1766,3569,8,19,0,1,61,149
Camden,Georgia,37203,9497,185,845,66,325,2989,3658
Candler,Georgia,6567,2681,19,63,3,26,244,1378
Carroll,Georgia,80725,21781,271,1104,21,505,5155,9586
Catoosa,Georgia,59280,1808,181,1025,84,133,3020,2341
Charlton,Georgia,7532,2386,40,109,2,30,383,2036
Chatham,Georgia,139433,108011,619,10620,408,1447,10963,23790
Chattahoochee,Georgia,5403,1463,35,304,104,55,591,1610
Chattooga,Georgia,20079,2391,45,102,0,81,970,1297
Cherokee,Georgia,197867,17326,502,5429,100,1544,11741,32111
Clarke,Georgia,72201,31367,297,4920,66,980,4504,14336
