County,State,White_Non_Hispanic,Black,Native_American,Asian,Pacific_Islander,Some_Other_Race,Mixed,Hispanic
Clearfield,Pennsylvania,73338,1760,78,450,0,146,2153,2637
Clinton,Pennsylvania,34933,416,51,211,7,70,1100,662
Columbia,Pennsylvania,58831,867,71,748,17,159,1894,2140
Crawford,Pennsylvania,77347,1496,109,365,26,229,3125,1241
Cumberland,Pennsylvania,211990,10581,318,13836,113,1074,9582,11975
Dauphin,Pennsylvania,175175,48404,396,17183,88,1465,12439,31251
Delaware,Pennsylvania,363249,127055,676,36317,133,2596,20032,26772
Elk,Pennsylvania,29466,74,16,113,12,46,969,294
Erie,Pennsylvania,219180,19821,343,6358,58,1046,12040,12030
Fayette,Pennsylvania,115322,5703,166,376,160,313,5186,1578
Forest,Pennsylvania,5278,1235,8,17,0,4,108,323
Franklin,Pennsylvania,132566,4998,242,1408,40,501,5413,10764
Fulton,Pennsylvania,13726,124,25,41,3,17,474,146
Greene,Pennsylvania,32898,1062,69,120,6,63,1226,510
Huntingdon,Pennsylvania,39420,2267,49,210,9,100,1185,852
Indiana,Pennsylvania,75718,2409,116,816,7,148,2556,1476
Jefferson,Pennsylvania,42317,125,45,100,8,92,1408,397
Juniata,Pennsylvania,21830,115,19,69,4,48,516,908
Lackawanna,Pennsylvania,175246,7415,276,6762,28,828,7074,18267
Lancaster,Pennsylvania,440613,19536,522,13939,110,1922,15171,61171
Lawrence,Pennsylvania,75811,3546,75,321,4,251,4407,1655
Lebanon,Pennsylvania,114004,2555,119,2192,39,460,3540,20348
Lehigh,Pennsylvania,227994,22950,337,13725,91,1779,10700,96981
Luzerne,Pennsylvania,250304,14031,295,3960,65,985,9056,46898
Lycoming,Pennsylvania,99687,5672,191,923,27,383,4931,2374
McKean,Pennsylvania,36991,849,102,193,2,82,1571,642
Mercer,Pennsylvania,96998,6289,116,683,14,342,4601,1609
Mifflin,Pennsylvania,43343,350,51,160,0,78,1182,979
Monroe,Pennsylvania,104716,22823,289,3947,56,1407,6531,28558
Montgomery,Pennsylvania,618244,79510,763,67761,168,3863,31732,54512
Montour,Pennsylvania,16105,320,27,668,0,22,507,487
Northampton,Pennsylvania,228373,17429,251,9892,75,1647,10687,44597
Northumberland,Pennsylvania,81689,2392,110,444,24,199,2638,4151
Perry,Pennsylvania,42838,289,50,139,3,139,1472,912
Philadelphia,Pennsylvania,550828,613835,2596,132408,579,11419,53855,238277
Pike,Pennsylvania,45375,3027,121,841,14,234,2204,6719
Potter,Pennsylvania,15494,43,25,69,0,52,466,247
Schuylkill,Pennsylvania,126192,4115,155,748,13,287,3475,8064
Snyder,Pennsylvania,36992,504,32,296,11,58,866,977
Somerset,Pennsylvania,69044,1863,50,194,7,126,1808,1037
Sullivan,Pennsylvania,5406,77,9,17,0,29,197,105
Susquehanna,Pennsylvania,35799,138,59,135,0,98,1358,847
Tioga,Pennsylvania,38257,321,73,189,7,99,1459,640
Union,Pennsylvania,36050,2459,82,814,8,112,1156,2000
Venango,Pennsylvania,47117,434,68,172,10,96,1980,577
Warren,Pennsylvania,36310,144,71,154,5,57,1431,415
Washington,Pennsylvania,186900,6861,230,1998,63,620,8656,4021
Wayne,Pennsylvania,44821,1647,73,418,0,165,1684,2347
Westmoreland,Pennsylvania,323114,8985,295,3301,36,953,12749,5230
Wyoming,Pennsylvania,24142,214,32,115,3,40,942,581
York,Pennsylvania,365353,25768,640,6557,118,1768,16874,39360
Ohio,West Virginia,37559,1656,67,387,20,134,1955,647
Adams,Wisconsin,18372,593,165,84,8,60,575,797
Ashland,Wisconsin,12678,112,1999,82,9,22,742,383
Barron,Wisconsin,42210,813,436,345,5,99,1526,1277
Bayfield,Wisconsin,13445,54,1612,36,2,56,736,279
Brown,Wisconsin,208440,8154,6329,8445,114,637,10405,26216
Buffalo,Wisconsin,12577,43,31,19,12,8,300,327
Burnett,Wisconsin,14658,65,697,53,10,32,757,254
Calumet,Wisconsin,46056,419,189,1269,42,124,1486,2857
Chippewa,Wisconsin,60391,1040,323,959,14,153,2160,1257
Clark,Wisconsin,31566,103,117,106,4,72,593,2098
Columbia,Wisconsin,53037,866,270,376,11,122,1669,2139
Crawford,Wisconsin,15018,265,41,68,1,34,426,260
Dane,Wisconsin,426721,29742,1275,35592,214,2103,23903,41954
Dodge,Wisconsin,77845,2701,371,511,11,204,2263,5490
Door,Wisconsin,27524,140,122,136,0,76,930,1138
Douglas,Wisconsin,39417,576,763,286,18,139,2328,768
Dunn,Wisconsin,40912,388,157,1451,13,88,1396,1035
Eau Claire,Wisconsin,92354,1213,440,4365,83,251,3886,3118
Florence,Wisconsin,4296,9,30,5,4,11,137,66
Fond du Lac,Wisconsin,90150,2321,355,1241,31,214,3125,6717
Forest,Wisconsin,7371,32,1187,17,7,3,407,155
Grant,Wisconsin,48325,679,95,411,8,58,1126,1236
Green,Wisconsin,33960,201,49,170,3,76,1134,1500
Green Lake,Wisconsin,17255,106,49,101,0,39,489,979
Iowa,Wisconsin,22203,114,26,178,12,50,671,455
Iron,Wisconsin,5809,11,63,13,0,27,142,72
Jackson,Wisconsin,17939,440,1319,73,0,45,651,678
Jefferson,Wisconsin,73325,864,206,646,19,202,2570,7068
Juneau,Wisconsin,24008,548,355,147,1,52,880,727
Kenosha,Wisconsin,121936,11480,371,2793,67,528,7430,24546
Kewaunee,Wisconsin,18992,57,55,64,2,41,518,834
La Crosse,Wisconsin,105307,1927,440,5599,16,385,4059,3051
Lafayette,Wisconsin,15081,27,20,36,4,19,335,1089
Langlade,Wisconsin,17960,105,235,67,4,36,625,459
Lincoln,Wisconsin,26734,148,108,117,2,35,742,529
Manitowoc,Wisconsin,70951,1027,371,2247,15,212,2486,4050
Marathon,Wisconsin,118783,1141,546,8431,29,340,4290,4453
Marinette,Wisconsin,38754,192,203,180,8,96,1360,1079
Marquette,Wisconsin,14477,44,60,51,5,45,422,488
Menominee,Wisconsin,483,2,3549,2,2,0,81,136
Milwaukee,Wisconsin,456520,240416,3878,45989,262,4227,35180,153017
Monroe,Wisconsin,40608,620,493,352,63,111,1467,2560
Oconto,Wisconsin,36170,91,463,110,0,66,1217,848
Oneida,Wisconsin,35264,205,441,195,18,117,1030,575
Outagamie,Wisconsin,161879,2929,2743,6588,112,415,6616,9423
Ozaukee,Wisconsin,81410,1483,167,2283,14,343,2705,3098
Pepin,Wisconsin,6866,20,33,22,0,7,213,157
Pierce,Wisconsin,38535,402,209,289,10,139,1408,1220
Polk,Wisconsin,41772,159,370,205,7,130,1387,947
Portage,Wisconsin,62212,903,242,2252,16,142,1990,2620
Price,Wisconsin,13157,31,83,67,124,38,374,180
Racine,Wisconsin,135333,22531,538,2261,47,792,8314,27911
Richland,Wisconsin,16014,92,42,95,0,24,511,526
Rock,Wisconsin,129796,8060,386,2022,50,523,7050,15800
Rusk,Wisconsin,13287,44,58,53,5,36,455,250
St. Croix,Wisconsin,85457,635,233,984,33,309,3206,2679
Sauk,Wisconsin,57868,578,764,394,15,148,1946,4050
Sawyer,Wisconsin,13817,96,2861,63,2,54,823,358
Shawano,Wisconsin,34404,117,3309,165,6,59,1645,1176
Sheboygan,Wisconsin,95837,2434,362,6875,21,360,3483,8662
Taylor,Wisconsin,18713,64,39,62,5,14,449,567
Trempealeau,Wisconsin,25830,81,82,109,0,52,649,3957
Vernon,Wisconsin,29179,121,41,89,9,96,715,464
Vilas,Wisconsin,19569,49,2181,57,0,61,671,459
Walworth,Wisconsin,88104,1166,229,1002,10,268,3149,12550
Washburn,Wisconsin,15348,30,182,59,4,36,665,299
Washington,Wisconsin,123855,1672,272,1943,28,407,3757,4827
Waukesha,Wisconsin,347922,6648,807,15616,121,1138,12891,21835
Waupaca,Wisconsin,47784,202,242,254,4,105,1357,1864
Waushara,Wisconsin,21552,389,121,98,14,50,603,1693
Winnebago,Wisconsin,145581,4931,935,5560,53,362,5980,8328
Wood,Wisconsin,67055,547,549,1382,29,190,2079,2376
