County,State,FIPS,Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US (of 3143 counties)
PREBLE,Ohio,39135.0,18.8,5412.0,"1,948"
LOGAN,Ohio,39091.0,18.9,6040.0,"1,944"
SENECA,Ohio,39147.0,18.9,6993.0,"1,943"
DEFIANCE,Ohio,39039.0,18.9,4975.0,"1,929"
ALLEN,Ohio,39003.0,19.1,13108.0,"1,889"
MUSKINGUM,Ohio,39119.0,19.3,11438.0,"1,853"
JEFFERSON,Ohio,39081.0,19.5,9021.0,"1,828"
PICKAWAY,Ohio,39129.0,19.6,8037.0,"1,807"
TUSCARAWAS,Ohio,39157.0,19.7,12626.0,"1,798"
TRUMBULL,Ohio,39155.0,20.0,28903.0,"1,731"
MERCER,Ohio,39107.0,20.4,5708.0,"1,666"
MADISON,Ohio,39097.0,20.4,6477.0,"1,665"
WASHINGTON,Ohio,39167.0,20.5,8743.0,"1,648"
CLINTON,Ohio,39027.0,20.6,5828.0,"1,624"
SHELBY,Ohio,39149.0,20.7,6608.0,"1,617"
AUGLAIZE,Ohio,39011.0,20.7,6528.0,"1,609"
WYANDOT,Ohio,39175.0,21.2,3250.0,"1,532"
ASHLAND,Ohio,39005.0,21.9,7840.0,"1,437"
KNOX,Ohio,39083.0,23.7,9762.0,"1,204"
WAYNE,Ohio,39169.0,24.0,18427.0,"1,157"
STARK,Ohio,39151.0,24.1,63116.0,"1,149"
MIAMI,Ohio,39109.0,24.7,18592.0,"1,065"
PUTNAM,Ohio,39137.0,25.9,5952.0,963
MAHONING,Ohio,39099.0,26.2,42587.0,937
ERIE,Ohio,39043.0,26.5,14360.0,913
OTTAWA,Ohio,39123.0,26.9,8221.0,872
LORAIN,Ohio,39093.0,27.2,59364.0,837
LUCAS,Ohio,39095.0,28.0,81629.0,781
HANCOCK,Ohio,39063.0,28.5,14642.0,747
LICKING,Ohio,39089.0,29.5,35872.0,692
LAKE,Ohio,39085.0,29.9,50412.0,669
MONTGOMERY,Ohio,39113.0,30.0,110293.0,667
CLERMONT,Ohio,39025.0,30.2,43833.0,652
FAIRFIELD,Ohio,39045.0,31.1,33565.0,598
PORTAGE,Ohio,39133.0,31.7,33722.0,563
BUTLER,Ohio,39017.0,31.9,79859.0,551
ATHENS,Ohio,39009.0,34.3,12379.0,425
SUMMIT,Ohio,39153.0,34.6,131993.0,414
CUYAHOGA,Ohio,39035.0,35.2,312892.0,390
MEDINA,Ohio,39103.0,35.9,46189.0,351
WOOD,Ohio,39173.0,37.5,30906.0,306
UNION,Ohio,39159.0,39.3,16922.0,244
GEAUGA,Ohio,39055.0,39.4,26021.0,243
HAMILTON,Ohio,39061.0,40.3,225960.0,224
GREENE,Ohio,39057.0,41.2,46842.0,204
FRANKLIN,Ohio,39049.0,41.7,368534.0,198
WARREN,Ohio,39165.0,44.7,73648.0,142
PERSHING,Nevada,32027.0,10.1,504.0,"3,093"
NYE,Nevada,32023.0,12.5,5063.0,"2,904"
WHITE PINE,Nevada,32033.0,13.3,895.0,"2,838"
LANDER,Nevada,32015.0,14.0,541.0,"2,755"
MINERAL,Nevada,32021.0,14.6,478.0,"2,664"
EUREKA,Nevada,32011.0,15.2,169.0,"2,578"
LINCOLN,Nevada,32017.0,15.3,489.0,"2,553"
LYON,Nevada,32019.0,16.1,6937.0,"2,420"
ELKO,Nevada,32007.0,17.0,5898.0,"2,281"
CHURCHILL,Nevada,32001.0,17.6,3090.0,"2,176"
HUMBOLDT,Nevada,32013.0,20.8,2360.0,"1,592"
ESMERALDA,Nevada,32009.0,24.3,212.0,"1,128"
CARSON,Nevada,32510.0,24.3,10205.0,"1,123"
CLARK,Nevada,32003.0,26.4,411859.0,918
DOUGLAS,Nevada,32005.0,31.3,12170.0,587
STOREY,Nevada,32029.0,31.4,976.0,586
DIXIE,Florida,12029.0,8.0,999.0,"3,129"
LAFAYETTE,Florida,12067.0,8.1,474.0,"3,125"
HAMILTON,Florida,12047.0,9.2,921.0,"3,114"
UNION,Florida,12125.0,10.0,1113.0,"3,094"
HARDEE,Florida,12049.0,10.4,1718.0,"3,080"
HENDRY,Florida,12051.0,10.5,2684.0,"3,074"
HOLMES,Florida,12059.0,11.0,1554.0,"3,043"
CALHOUN,Florida,12013.0,11.1,1112.0,"3,038"
DESOTO,Florida,12027.0,11.6,2900.0,"2,984"
WASHINGTON,Florida,12133.0,12.4,2261.0,"2,914"
MADISON,Florida,12079.0,13.0,1776.0,"2,875"
GLADES,Florida,12043.0,13.0,1242.0,"2,872"
BRADFORD,Florida,12007.0,13.2,2653.0,"2,849"
PUTNAM,Florida,12107.0,13.3,7016.0,"2,832"
JACKSON,Florida,12063.0,13.9,4837.0,"2,783"
TAYLOR,Florida,12123.0,13.9,2207.0,"2,775"
BAKER,Florida,12003.0,14.1,2660.0,"2,738"
GILCHRIST,Florida,12041.0,14.6,1887.0,"2,667"
SUWANNEE,Florida,12121.0,15.9,4942.0,"2,461"
COLUMBIA,Florida,12023.0,16.0,7777.0,"2,432"
LEVY,Florida,12075.0,16.1,5122.0,"2,421"
OKEECHOBEE,Florida,12093.0,16.8,4773.0,"2,307"
LIBERTY,Florida,12077.0,16.8,929.0,"2,306"
HIGHLANDS,Florida,12055.0,18.3,14461.0,"2,053"
JEFFERSON,Florida,12065.0,19.5,2115.0,"1,825"
GADSDEN,Florida,12039.0,19.7,6012.0,"1,802"
CITRUS,Florida,12017.0,19.7,24367.0,"1,796"
WAKULLA,Florida,12129.0,19.7,4796.0,"1,784"
HERNANDO,Florida,12053.0,20.0,29458.0,"1,734"
FRANKLIN,Florida,12037.0,21.0,2033.0,"1,570"
GULF,Florida,12045.0,21.4,2541.0,"1,502"
POLK,Florida,12105.0,21.4,109285.0,"1,493"
MARION,Florida,12083.0,22.0,61989.0,"1,428"
ST. LUCIE,Florida,12111.0,25.0,61248.0,"1,034"
CHARLOTTE,Florida,12015.0,25.1,39640.0,"1,026"
LAKE,Florida,12069.0,25.7,73720.0,982
VOLUSIA,Florida,12127.0,26.2,108528.0,938
OSCEOLA,Florida,12097.0,26.5,69440.0,908
BAY,Florida,12005.0,26.6,34466.0,901
PASCO,Florida,12101.0,27.1,111695.0,848
CLAY,Florida,12019.0,27.6,41870.0,809
ESCAMBIA,Florida,12033.0,28.1,61257.0,777
FLAGLER,Florida,12035.0,28.4,25768.0,757
SANTA ROSA,Florida,12113.0,29.9,39828.0,672
LEE,Florida,12071.0,30.1,175717.0,656
NASSAU,Florida,12089.0,32.0,21711.0,544
DUVAL,Florida,12031.0,32.2,220273.0,527
MIAMI-DADE,Florida,12086.0,32.5,624330.0,508
INDIAN RIVER,Florida,12061.0,32.7,41214.0,497
MANATEE,Florida,12081.0,32.8,100646.0,490
BREVARD,Florida,12009.0,32.9,149873.0,488
WALTON,Florida,12131.0,33.1,18704.0,477
OKALOOSA,Florida,12091.0,33.3,48582.0,469
SUMTER,Florida,12119.0,33.7,39993.0,450
BROWARD,Florida,12011.0,34.9,483243.0,399
PINELLAS,Florida,12103.0,35.1,261455.0,395
MARTIN,Florida,12085.0,35.1,43470.0,394
HILLSBOROUGH,Florida,12057.0,36.2,366052.0,344
MONROE,Florida,12087.0,36.3,23342.0,343
ORANGE,Florida,12095.0,37.4,360821.0,311
SARASOTA,Florida,12115.0,38.3,135055.0,279
COLLIER,Florida,12021.0,38.7,113010.0,263
PALM BEACH,Florida,12099.0,38.8,426118.0,261
SEMINOLE,Florida,12117.0,41.7,139386.0,197
ALACHUA,Florida,12001.0,46.7,79056.0,115
ST. JOHNS,Florida,12109.0,47.4,94156.0,109
