County,State,FIPS,Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US (of 3143 counties)
MUSKEGON,Michigan,26121.0,20.7,25141.0,"1,613"
ALGER,Michigan,26003.0,20.7,1359.0,"1,610"
CASS,Michigan,26027.0,21.2,7808.0,"1,536"
CALHOUN,Michigan,26025.0,22.0,20161.0,"1,421"
VAN BUREN,Michigan,26159.0,22.2,11614.0,"1,396"
GOGEBIC,Michigan,26053.0,22.4,2533.0,"1,376"
LENAWEE,Michigan,26091.0,22.5,15621.0,"1,358"
JACKSON,Michigan,26075.0,22.5,25209.0,"1,357"
CHEBOYGAN,Michigan,26031.0,22.5,4492.0,"1,355"
MANISTEE,Michigan,26101.0,22.5,4294.0,"1,348"
MONROE,Michigan,26115.0,22.6,24842.0,"1,337"
GENESEE,Michigan,26049.0,22.8,63838.0,"1,318"
CHIPPEWA,Michigan,26033.0,22.9,5861.0,"1,303"
SAGINAW,Michigan,26145.0,22.9,29984.0,"1,301"
BARRY,Michigan,26015.0,23.6,10438.0,"1,216"
MECOSTA,Michigan,26107.0,23.7,6314.0,"1,199"
DICKINSON,Michigan,26043.0,23.9,4547.0,"1,176"
ALLEGAN,Michigan,26005.0,24.1,19875.0,"1,144"
MASON,Michigan,26105.0,24.2,5155.0,"1,138"
MACKINAC,Michigan,26097.0,25.7,2189.0,980
OTSEGO,Michigan,26137.0,26.3,4756.0,932
WAYNE,Michigan,26163.0,26.5,319402.0,909
MACOMB,Michigan,26099.0,26.8,167161.0,881
BERRIEN,Michigan,26021.0,30.1,32497.0,660
EATON,Michigan,26045.0,30.3,23459.0,650
ISABELLA,Michigan,26073.0,30.7,11055.0,621
CLINTON,Michigan,26037.0,32.2,17785.0,526
BENZIE,Michigan,26019.0,32.4,4473.0,513
ANTRIM,Michigan,26009.0,32.5,5843.0,512
CHARLEVOIX,Michigan,26029.0,33.0,6452.0,482
MARQUETTE,Michigan,26103.0,34.7,15354.0,409
MIDLAND,Michigan,26111.0,35.6,21132.0,361
HOUGHTON,Michigan,26061.0,35.8,7756.0,356
OTTAWA,Michigan,26139.0,36.5,68141.0,330
EMMET,Michigan,26047.0,37.9,9464.0,291
LIVINGSTON,Michigan,26093.0,38.1,52754.0,283
KEWEENAW,Michigan,26083.0,38.3,664.0,278
KENT,Michigan,26081.0,38.6,169031.0,271
GRAND TRAVERSE,Michigan,26055.0,38.7,26664.0,267
KALAMAZOO,Michigan,26077.0,40.5,66754.0,220
INGHAM,Michigan,26065.0,40.6,70763.0,216
LEELANAU,Michigan,26089.0,48.6,8542.0,92
OAKLAND,Michigan,26125.0,49.5,449241.0,87
CAMERON,Pennsylvania,42023.0,10.9,378.0,"3,052"
FOREST,Pennsylvania,42053.0,11.6,662.0,"2,985"
