County,White_Non_Hispanic,Black,Native_American,Asian,Pacific_Islander,Some_Other_Race,Mixed,Hispanic
"Washington County, Ohio",55663,600,114,309,8,158,2202,717
"Wayne County, Ohio",106930,1755,142,950,32,283,4047,2755
"Williams County, Ohio",33483,323,55,198,0,92,1089,1862
"Wood County, Ohio",112493,3089,164,2750,9,330,5133,8280
"Wyandot County, Ohio",20520,77,21,85,3,45,508,641
"Adams County, Pennsylvania",89945,1473,147,952,33,333,3179,7790
"Allegheny County, Pennsylvania",938252,161554,1305,58318,304,6064,50456,34325
"Armstrong County, Pennsylvania",62320,438,57,147,14,120,1972,490
"Beaver County, Pennsylvania",143881,11069,195,1022,53,613,7771,3611
"Bedford County, Pennsylvania",45381,181,66,153,0,50,1227,519
"Berks County, Pennsylvania",291258,18087,450,6225,61,1551,11667,99550
"Blair County, Pennsylvania",113016,2463,134,868,12,367,4254,1708
"Bradford County, Pennsylvania",55717,394,117,460,13,133,2260,873
"Bucks County, Pennsylvania",521575,25277,531,35053,143,2512,21677,39770
"Butler County, Pennsylvania",178081,2174,154,2792,36,577,6284,3665
"Cambria County, Pennsylvania",119380,5665,96,764,35,320,4747,2465
"Cameron County, Pennsylvania",4271,12,8,29,0,12,129,86
"Carbon County, Pennsylvania",57439,1070,95,327,14,216,1946,3642
"Centre County, Pennsylvania",129668,5306,120,11373,39,596,5419,5651
"Chester County, Pennsylvania",405476,28391,532,35143,119,2249,18961,43542
"Clarion County, Pennsylvania",35023,521,39,175,15,111,970,387
"Clearfield County, Pennsylvania",73338,1760,78,450,0,146,2153,2637
"Clinton County, Pennsylvania",34933,416,51,211,7,70,1100,662
"Columbia County, Pennsylvania",58831,867,71,748,17,159,1894,2140
"Crawford County, Pennsylvania",77347,1496,109,365,26,229,3125,1241
"Cumberland County, Pennsylvania",211990,10581,318,13836,113,1074,9582,11975
"Dauphin County, Pennsylvania",175175,48404,396,17183,88,1465,12439,31251
"Delaware County, Pennsylvania",363249,127055,676,36317,133,2596,20032,26772
"Elk County, Pennsylvania",29466,74,16,113,12,46,969,294
"Erie County, Pennsylvania",219180,19821,343,6358,58,1046,12040,12030
"Fayette County, Pennsylvania",115322,5703,166,376,160,313,5186,1578
"Forest County, Pennsylvania",5278,1235,8,17,0,4,108,323
"Franklin County, Pennsylvania",132566,4998,242,1408,40,501,5413,10764
"Fulton County, Pennsylvania",13726,124,25,41,3,17,474,146
"Greene County, Pennsylvania",32898,1062,69,120,6,63,1226,510
"Huntingdon County, Pennsylvania",39420,2267,49,210,9,100,1185,852
"Indiana County, Pennsylvania",75718,2409,116,816,7,148,2556,1476
"Jefferson County, Pennsylvania",42317,125,45,100,8,92,1408,397
"Juniata County, Pennsylvania",21830,115,19,69,4,48,516,908
"Lackawanna County, Pennsylvania",175246,7415,276,6762,28,828,7074,18267
"Lancaster County, Pennsylvania",440613,19536,522,13939,110,1922,15171,61171
"Lawrence County, Pennsylvania",75811,3546,75,321,4,251,4407,1655
"Lebanon County, Pennsylvania",114004,2555,119,2192,39,460,3540,20348
"Lehigh County, Pennsylvania",227994,22950,337,13725,91,1779,10700,96981
"Luzerne County, Pennsylvania",250304,14031,295,3960,65,985,9056,46898
"Lycoming County, Pennsylvania",99687,5672,191,923,27,383,4931,2374
"McKean County, Pennsylvania",36991,849,102,193,2,82,1571,642
"Mercer County, Pennsylvania",96998,6289,116,683,14,342,4601,1609
"Mifflin County, Pennsylvania",43343,350,51,160,0,78,1182,979
"Monroe County, Pennsylvania",104716,22823,289,3947,56,1407,6531,28558
"Montgomery County, Pennsylvania",618244,79510,763,67761,168,3863,31732,54512
"Montour County, Pennsylvania",16105,320,27,668,0,22,507,487
"Northampton County, Pennsylvania",228373,17429,251,9892,75,1647,10687,44597
"Northumberland County, Pennsylvania",81689,2392,110,444,24,199,2638,4151
"Perry County, Pennsylvania",42838,289,50,139,3,139,1472,912
"Philadelphia County, Pennsylvania",550828,613835,2596,132408,579,11419,53855,238277
"Pike County, Pennsylvania",45375,3027,121,841,14,234,2204,6719
"Potter County, Pennsylvania",15494,43,25,69,0,52,466,247
"Schuylkill County, Pennsylvania",126192,4115,155,748,13,287,3475,8064
"Snyder County, Pennsylvania",36992,504,32,296,11,58,866,977
"Somerset County, Pennsylvania",69044,1863,50,194,7,126,1808,1037
"Sullivan County, Pennsylvania",5406,77,9,17,0,29,197,105
"Susquehanna County, Pennsylvania",35799,138,59,135,0,98,1358,847
"Tioga County, Pennsylvania",38257,321,73,189,7,99,1459,640
"Union County, Pennsylvania",36050,2459,82,814,8,112,1156,2000
"Venango County, Pennsylvania",47117,434,68,172,10,96,1980,577
"Warren County, Pennsylvania",36310,144,71,154,5,57,1431,415
"Washington County, Pennsylvania",186900,6861,230,1998,63,620,8656,4021
"Wayne County, Pennsylvania",44821,1647,73,418,0,165,1684,2347
"Westmoreland County, Pennsylvania",323114,8985,295,3301,36,953,12749,5230
"Wyoming County, Pennsylvania",24142,214,32,115,3,40,942,581
"York County, Pennsylvania",365353,25768,640,6557,118,1768,16874,39360
"Ohio County, West Virginia",37559,1656,67,387,20,134,1955,647
"Adams County, Wisconsin",18372,593,165,84,8,60,575,797
"Ashland County, Wisconsin",12678,112,1999,82,9,22,742,383
"Barron County, Wisconsin",42210,813,436,345,5,99,1526,1277
"Bayfield County, Wisconsin",13445,54,1612,36,2,56,736,279
"Brown County, Wisconsin",208440,8154,6329,8445,114,637,10405,26216
"Buffalo County, Wisconsin",12577,43,31,19,12,8,300,327
"Burnett County, Wisconsin",14658,65,697,53,10,32,757,254
"Calumet County, Wisconsin",46056,419,189,1269,42,124,1486,2857
"Chippewa County, Wisconsin",60391,1040,323,959,14,153,2160,1257
"Clark County, Wisconsin",31566,103,117,106,4,72,593,2098
"Columbia County, Wisconsin",53037,866,270,376,11,122,1669,2139
"Crawford County, Wisconsin",15018,265,41,68,1,34,426,260
"Dane County, Wisconsin",426721,29742,1275,35592,214,2103,23903,41954
"Dodge County, Wisconsin",77845,2701,371,511,11,204,2263,5490
"Door County, Wisconsin",27524,140,122,136,0,76,930,1138
"Douglas County, Wisconsin",39417,576,763,286,18,139,2328,768
"Dunn County, Wisconsin",40912,388,157,1451,13,88,1396,1035
"Eau Claire County, Wisconsin",92354,1213,440,4365,83,251,3886,3118
"Florence County, Wisconsin",4296,9,30,5,4,11,137,66
"Fond du Lac County, Wisconsin",90150,2321,355,1241,31,214,3125,6717
"Forest County, Wisconsin",7371,32,1187,17,7,3,407,155
"Grant County, Wisconsin",48325,679,95,411,8,58,1126,1236
"Green County, Wisconsin",33960,201,49,170,3,76,1134,1500
"Green Lake County, Wisconsin",17255,106,49,101,0,39,489,979
"Iowa County, Wisconsin",22203,114,26,178,12,50,671,455
"Iron County, Wisconsin",5809,11,63,13,0,27,142,72
"Jackson County, Wisconsin",17939,440,1319,73,0,45,651,678
"Jefferson County, Wisconsin",73325,864,206,646,19,202,2570,7068
"Juneau County, Wisconsin",24008,548,355,147,1,52,880,727
"Kenosha County, Wisconsin",121936,11480,371,2793,67,528,7430,24546
"Kewaunee County, Wisconsin",18992,57,55,64,2,41,518,834
"La Crosse County, Wisconsin",105307,1927,440,5599,16,385,4059,3051
"Lafayette County, Wisconsin",15081,27,20,36,4,19,335,1089
"Langlade County, Wisconsin",17960,105,235,67,4,36,625,459
"Lincoln County, Wisconsin",26734,148,108,117,2,35,742,529
"Manitowoc County, Wisconsin",70951,1027,371,2247,15,212,2486,4050
"Marathon County, Wisconsin",118783,1141,546,8431,29,340,4290,4453
"Marinette County, Wisconsin",38754,192,203,180,8,96,1360,1079
"Marquette County, Wisconsin",14477,44,60,51,5,45,422,488
"Menominee County, Wisconsin",483,2,3549,2,2,0,81,136
"Milwaukee County, Wisconsin",456520,240416,3878,45989,262,4227,35180,153017
"Monroe County, Wisconsin",40608,620,493,352,63,111,1467,2560
"Oconto County, Wisconsin",36170,91,463,110,0,66,1217,848
"Oneida County, Wisconsin",35264,205,441,195,18,117,1030,575
"Outagamie County, Wisconsin",161879,2929,2743,6588,112,415,6616,9423
"Ozaukee County, Wisconsin",81410,1483,167,2283,14,343,2705,3098
"Pepin County, Wisconsin",6866,20,33,22,0,7,213,157
"Pierce County, Wisconsin",38535,402,209,289,10,139,1408,1220
"Polk County, Wisconsin",41772,159,370,205,7,130,1387,947
"Portage County, Wisconsin",62212,903,242,2252,16,142,1990,2620
"Price County, Wisconsin",13157,31,83,67,124,38,374,180
"Racine County, Wisconsin",135333,22531,538,2261,47,792,8314,27911
"Richland County, Wisconsin",16014,92,42,95,0,24,511,526
"Rock County, Wisconsin",129796,8060,386,2022,50,523,7050,15800
"Rusk County, Wisconsin",13287,44,58,53,5,36,455,250
"St. Croix County, Wisconsin",85457,635,233,984,33,309,3206,2679
"Sauk County, Wisconsin",57868,578,764,394,15,148,1946,4050
"Sawyer County, Wisconsin",13817,96,2861,63,2,54,823,358
"Shawano County, Wisconsin",34404,117,3309,165,6,59,1645,1176
"Sheboygan County, Wisconsin",95837,2434,362,6875,21,360,3483,8662
"Taylor County, Wisconsin",18713,64,39,62,5,14,449,567
"Trempealeau County, Wisconsin",25830,81,82,109,0,52,649,3957
"Vernon County, Wisconsin",29179,121,41,89,9,96,715,464
"Vilas County, Wisconsin",19569,49,2181,57,0,61,671,459
"Walworth County, Wisconsin",88104,1166,229,1002,10,268,3149,12550
"Washburn County, Wisconsin",15348,30,182,59,4,36,665,299
"Washington County, Wisconsin",123855,1672,272,1943,28,407,3757,4827
"Waukesha County, Wisconsin",347922,6648,807,15616,121,1138,12891,21835
"Waupaca County, Wisconsin",47784,202,242,254,4,105,1357,1864
"Waushara County, Wisconsin",21552,389,121,98,14,50,603,1693
"Winnebago County, Wisconsin",145581,4931,935,5560,53,362,5980,8328
"Wood County, Wisconsin",67055,547,549,1382,29,190,2079,2376
