Textbox12,fips,County,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,Value (Percent),rate_2010
2018-2022,2018-2022,2018-2022,North Dakota,8.4,14.8,18.1,22.0,27.1,31.4
2018-2022,2018-2022,2018-2022,Ohio,9.3,13.7,17.0,21.1,24.7,30.4
2018-2022,2018-2022,2018-2022,Oklahoma,10.0,15.1,17.8,20.3,23.2,27.3
2018-2022,2018-2022,2018-2022,Oregon,11.8,17.9,20.6,25.1,29.2,35.5
2018-2022,2018-2022,2018-2022,Pennsylvania,8.7,13.6,17.9,22.4,27.0,33.8
2018-2022,2018-2022,2018-2022,Rhode Island,9.4,15.4,21.3,25.6,30.8,36.3
2018-2022,2018-2022,2018-2022,South Carolina,9.0,13.4,16.6,20.4,24.6,30.6
2018-2022,2018-2022,2018-2022,South Dakota,8.6,14.0,17.2,21.5,26.0,30.4
2018-2022,2018-2022,2018-2022,Tennessee,7.9,12.6,16.0,19.6,23.5,29.7
2018-2022,2018-2022,2018-2022,Texas,10.9,16.9,20.3,23.2,26.3,32.3
2018-2022,2018-2022,2018-2022,Utah,14.0,19.9,22.3,26.1,29.9,36.1
2018-2022,2018-2022,2018-2022,Vermont,11.5,19.0,24.3,29.4,34.2,41.7
2018-2022,2018-2022,2018-2022,Virginia,12.3,19.1,24.5,29.5,34.7,41.0
2018-2022,2018-2022,2018-2022,Washington,12.7,19.0,22.9,27.7,31.6,38.0
2018-2022,2018-2022,2018-2022,West Virginia,6.8,10.4,12.3,14.8,17.9,22.7
2018-2022,2018-2022,2018-2022,Wisconsin,9.8,14.8,17.7,22.4,26.4,32.0
2018-2022,2018-2022,2018-2022,Wyoming,11.8,17.2,18.8,21.9,24.3,29.0
2018-2022,2018-2022,2018-2022,Puerto Rico,,,,18.3,22.5,28.3
